//ID,Type,Name,Level,Hp
A4070000,MOB_CH_CHAKJI,MOB_CH_CHAKJI,20,1031
A6070000,MOB_WC_GHOSTBUG,MOB_WC_GHOSTBUG,21,1106
A8070000,MOB_WC_DEVILBUG,MOB_WC_DEVILBUG,22,1184
AA070000,MOB_WC_EARTHGHOST_CLON,MOB_WC_EARTHGHOST_CLON,28,1535
AB070000,MOB_WC_EARTHGHOST,MOB_WC_EARTHGHOST,27,1451
AC070000,MOB_WC_GUNPOWDERGHOST_CLON,MOB_WC_GUNPOWDERGHOST_CLON,27,1451
AD070000,MOB_WC_GUNPOWDERGHOST,MOB_WC_GUNPOWDERGHOST,28,1535
AE070000,MOB_WC_EARTHKING,MOB_WC_EARTHKING,30,1513
AF070000,MOB_WC_DEMONHORSE_CLON,MOB_WC_DEMONHORSE_CLON,26,1370
B0070000,MOB_WC_DEMONHORSE,MOB_WC_DEMONHORSE,25,1291
B1070000,MOB_WC_HYEONGCHEON_CLON,MOB_WC_HYEONGCHEON_CLON,29,1807
B2070000,MOB_WC_HYEONGCHEON,MOB_WC_HYEONGCHEON,30,1909
B3070000,MOB_DH_BUGGHOST,MOB_DH_BUGGHOST,63,8495
B4070000,MOB_DH_WORKEARTHGHOST,MOB_DH_WORKEARTHGHOST,64,9139
B5070000,MOB_DH_SOLDIEREARTHGHOST,MOB_DH_SOLDIEREARTHGHOST,66,9792
B6070000,MOB_DH_BLINDMON,MOB_DH_BLINDMON,68,9265
B7070000,MOB_DH_YACHA,MOB_DH_YACHA,70,11214
B8070000,MOB_DH_NACHAL,MOB_DH_NACHAL,70,8603
B9070000,MOB_OA_SCORPION,MOB_OA_SCORPION,32,2121
BA070000,MOB_OA_ONG,MOB_OA_ONG,34,2099
BB070000,MOB_OA_DESERTTRUNKZ,MOB_OA_DESERTTRUNKZ,34,1849
BC070000,MOB_OA_BLACKROBBER,MOB_OA_BLACKROBBER,38,2539
BD070000,MOB_OA_BLACKROBBERARCHER,MOB_OA_BLACKROBBERARCHER,36,2034
BE070000,MOB_OA_URUCHI,MOB_OA_URUCHI,40,1779528
BF070000,MOB_OA_REDEYEGHOST,MOB_OA_REDEYEGHOST,41,2907
C0070000,MOB_OA_REDSCORPION,MOB_OA_REDSCORPION,40,3121
C1070000,MOB_KT_BUNWANG_CLON,MOB_KT_BUNWANG_CLON,44,3311
C3070000,MOB_KT_BUNWANG,MOB_KT_BUNWANG,45,3454
C6070000,MOB_KT_WHITESPIDER,MOB_KT_WHITESPIDER,48,3909
C7070000,MOB_KT_MUJIGI,MOB_KT_MUJIGI,49,3557
CA070000,MOB_KT_WHITESPIDER_CLON,MOB_KT_WHITESPIDER_CLON,47,3753
CB070000,MOB_KK_GWHITESPIDER,MOB_KK_GWHITESPIDER,58,6027
CC070000,MOB_KK_YETI,MOB_KK_YETI,59,7059
D0070000,MOB_KK_PLANAR_CLON,MOB_KK_PLANAR_CLON,57,6557
D2070000,MOB_KK_ISYUTARU,MOB_KK_ISYUTARU,60,4324612
D3070000,NPC_CH_SMITH,NPC_CH_SMITH,0,0
D4070000,NPC_CH_ARMOR,NPC_CH_ARMOR,0,0
D5070000,NPC_CH_POTION,NPC_CH_POTION,0,0
D6070000,NPC_CH_POTION2,NPC_CH_POTION2,0,0
D7070000,NPC_CH_POTION3,NPC_CH_POTION3,0,0
D8070000,NPC_CH_ACCESSORY,NPC_CH_ACCESSORY,0,0
D9070000,NPC_CH_HORSE,NPC_CH_HORSE,0,0
DA070000,NPC_CH_SPECIAL,NPC_CH_SPECIAL,0,0
DB070000,NPC_CH_FERRY,NPC_CH_FERRY,0,0
DC070000,NPC_CH_BOATMAN,NPC_CH_BOATMAN,0,0
DD070000,NPC_CH_WAREHOUSE_M,NPC_CH_WAREHOUSE_M,0,0
DE070000,NPC_CH_WAREHOUSE_W,NPC_CH_WAREHOUSE_W,0,0
DF070000,NPC_CH_TICKET,NPC_CH_TICKET,0,0
E0070000,NPC_CH_LOTTERY,NPC_CH_LOTTERY,0,0
E1070000,NPC_CH_SHAMAN,NPC_CH_SHAMAN,0,0
E2070000,NPC_CH_CHEF,NPC_CH_CHEF,0,0
E3070000,NPC_CH_GENARAL,NPC_CH_GENARAL,0,0
E4070000,NPC_CH_GENARAL_SW,NPC_CH_GENARAL_SW,0,0
E5070000,NPC_CH_GENARAL_SP,NPC_CH_GENARAL_SP,0,0
E6070000,NPC_CH_GENARAL_BO,NPC_CH_GENARAL_BO,0,0
E7070000,NPC_CH_PRIEST,NPC_CH_PRIEST,0,0
EB070000,NPC_CH_DOCTOR,NPC_CH_DOCTOR,0,0
EC070000,NPC_CH_ISLAM,NPC_CH_ISLAM,0,0
ED070000,NPC_CH_EUROPE,NPC_CH_EUROPE,0,0
EE070000,NPC_CH_INDIA,NPC_CH_INDIA,0,0
EF070000,NPC_CH_SOLDIER_EM1,NPC_CH_SOLDIER_EM1,0,0
F0070000,NPC_CH_SOLDIER_EM2,NPC_CH_SOLDIER_EM2,0,0
F1070000,NPC_CH_SOLDIER_EA1,NPC_CH_SOLDIER_EA1,0,0
F2070000,NPC_CH_SOLDIER_EA2,NPC_CH_SOLDIER_EA2,0,0
F3070000,NPC_CH_SOLDIER_WE1,NPC_CH_SOLDIER_WE1,0,0
F4070000,NPC_CH_SOLDIER_WE2,NPC_CH_SOLDIER_WE2,0,0
F5070000,NPC_CH_SOLDIER_SO1,NPC_CH_SOLDIER_SO1,0,0
F6070000,NPC_CH_SOLDIER_SO2,NPC_CH_SOLDIER_SO2,0,0
F7070000,NPC_CH_BEGGARBOY,NPC_CH_BEGGARBOY,0,0
F8070000,NPC_CH_BIGMAN,NPC_CH_BIGMAN,0,0
F9070000,NPC_CH_KISAENG1,NPC_CH_KISAENG1,0,0
FA070000,NPC_CH_KISAENG2,NPC_CH_KISAENG2,0,0
FB070000,NPC_CH_KISAENG3,NPC_CH_KISAENG3,0,0
FC070000,NPC_CH_KISAENG4,NPC_CH_KISAENG4,0,0
FD070000,NPC_CH_KISAENG5,NPC_CH_KISAENG5,0,0
FE070000,NPC_CH_KISAENG6,NPC_CH_KISAENG6,0,0
FF070000,NPC_CH_HORSE1,NPC_CH_HORSE1,0,0
00080000,NPC_CH_HORSE2,NPC_CH_HORSE2,0,0
01080000,NPC_CH_HORSE3,NPC_CH_HORSE3,0,0
02080000,NPC_CH_HORSE4,NPC_CH_HORSE4,0,0
03080000,NPC_WC_SMITH,NPC_WC_SMITH,0,0
04080000,NPC_WC_ARMOR,NPC_WC_ARMOR,0,0
05080000,NPC_WC_POTION,NPC_WC_POTION,0,0
06080000,NPC_WC_ACCESSORY,NPC_WC_ACCESSORY,0,0
07080000,NPC_WC_HORSE,NPC_WC_HORSE,0,0
08080000,NPC_WC_FERRY,NPC_WC_FERRY,0,0
09080000,NPC_WC_WAREHOUSE_M,NPC_WC_WAREHOUSE_M,0,0
0A080000,NPC_WC_WAREHOUSE_W,NPC_WC_WAREHOUSE_W,0,0
0B080000,NPC_WC_SPECIAL,NPC_WC_SPECIAL,0,0
0C080000,NPC_WC_PRIEST1,NPC_WC_PRIEST1,0,0
0D080000,NPC_WC_PRIEST2,NPC_WC_PRIEST2,0,0
0E080000,NPC_WC_GENARAL_SW,NPC_WC_GENARAL_SW,0,0
0F080000,NPC_WC_GENARAL_SP,NPC_WC_GENARAL_SP,0,0
10080000,NPC_WC_GENARAL_BO,NPC_WC_GENARAL_BO,0,0
11080000,NPC_WC_DOCTOR,NPC_WC_DOCTOR,0,0
12080000,NPC_WC_SOLDIER_EA1,NPC_WC_SOLDIER_EA1,0,0
13080000,NPC_WC_SOLDIER_EA2,NPC_WC_SOLDIER_EA2,0,0
14080000,NPC_WC_SOLDIER_WE1,NPC_WC_SOLDIER_WE1,0,0
15080000,NPC_WC_SOLDIER_WE2,NPC_WC_SOLDIER_WE2,0,0
16080000,NPC_WC_SOLDIER_SO,NPC_WC_SOLDIER_SO,0,0
17080000,NPC_WC_PRIEST3,NPC_WC_PRIEST3,0,0
18080000,NPC_KT_SMITH,NPC_KT_SMITH,0,0
19080000,NPC_KT_ARMOR,NPC_KT_ARMOR,0,0
1A080000,NPC_KT_POTION,NPC_KT_POTION,0,0
1B080000,NPC_KT_ACCESSORY,NPC_KT_ACCESSORY,0,0
1C080000,NPC_KT_HORSE,NPC_KT_HORSE,0,0
1D080000,NPC_KT_SPECIAL,NPC_KT_SPECIAL,0,0
1E080000,NPC_KT_DESIGNER,NPC_KT_DESIGNER,0,0
1F080000,NPC_KT_FERRY,NPC_KT_FERRY,0,0
20080000,NPC_KT_BOATMAN1,NPC_KT_BOATMAN1,0,0
21080000,NPC_KT_BINIKI1,NPC_KT_BINIKI1,0,0
22080000,NPC_KT_BINIKI2,NPC_KT_BINIKI2,0,0
23080000,NPC_KT_WAREHOUSE,NPC_KT_WAREHOUSE,0,0
24080000,NPC_KT_MANAGER,NPC_KT_MANAGER,0,0
25080000,NPC_KT_MINISTER,NPC_KT_MINISTER,0,0
26080000,NPC_KT_SOLDIER_EM1,NPC_KT_SOLDIER_EM1,0,0
27080000,NPC_KT_SOLDIER_EM2,NPC_KT_SOLDIER_EM2,0,0
28080000,NPC_KT_SOLDIER_EA1,NPC_KT_SOLDIER_EA1,0,0
29080000,NPC_KT_SOLDIER_EA2,NPC_KT_SOLDIER_EA2,0,0
2A080000,NPC_KT_SOLDIER_SO1,NPC_KT_SOLDIER_SO1,0,0
2B080000,NPC_KT_SOLDIER_SO2,NPC_KT_SOLDIER_SO2,0,0
2C080000,NPC_KT_SOLDIER_WE1,NPC_KT_SOLDIER_WE1,0,0
2D080000,NPC_KT_SOLDIER_WE2,NPC_KT_SOLDIER_WE2,0,0
31080000,MOB_WC_HYUNGNO,MOB_WC_HYUNGNO,23,1264
32080000,MOB_WC_HYUNGNO_CLON,MOB_WC_HYUNGNO_CLON,24,1347
33080000,MOB_WC_EARTHKING_CLON,MOB_WC_EARTHKING_CLON,30,1513
34080000,MOB_OA_SCORPION_CLON,MOB_OA_SCORPION_CLON,31,2013
35080000,MOB_OA_DESERTTRUNKZ_CLON2,MOB_OA_DESERTTRUNKZ_CLON2,33,1761
36080000,MOB_OA_ONG_CLON,MOB_OA_ONG_CLON,33,1997
37080000,MOB_OA_BLACKROBBER_CLON,MOB_OA_BLACKROBBER_CLON,35,2204
38080000,MOB_OA_YEOWA_CLON,MOB_OA_YEOWA_CLON,35,2467
39080000,MOB_OA_YEOWA,MOB_OA_YEOWA,36,2590
3A080000,MOB_OA_BLACKROBBERARCHER_CLON,MOB_OA_BLACKROBBERARCHER_CLON,37,2131
3B080000,MOB_OA_REDSCORPION_CLON,MOB_OA_REDSCORPION_CLON,39,2982
3C080000,MOB_OA_REDEYEGHOST_CLON,MOB_OA_REDEYEGHOST_CLON,42,3038
3D080000,MOB_KT_ONG_CLON2,MOB_KT_ONG_CLON2,43,3172
3E080000,MOB_KT_MUJIGI_CLON,MOB_KT_MUJIGI_CLON,50,3701
3F080000,MOB_KK_ISHADE,MOB_KK_ISHADE,51,3849
40080000,MOB_KK_ISHADE_CLON,MOB_KK_ISHADE_CLON,52,4001
41080000,MOB_KK_SPIDER_CLON,MOB_KK_SPIDER_CLON,52,4584
42080000,MOB_KK_SPIDER,MOB_KK_SPIDER,53,4766
45080000,MOB_KK_GWHITESPIDER_CLON,MOB_KK_GWHITESPIDER_CLON,57,5809
46080000,MOB_KK_YETI_CLON,MOB_KK_YETI_CLON,60,7634
47080000,NPC_CH_FERRY2,NPC_CH_FERRY2,0,0
48080000,NPC_WC_FERRY2,NPC_WC_FERRY2,0,0
4C080000,MOB_KT_DESERTTRUNKZ_CLON,MOB_KT_DESERTTRUNKZ_CLON,46,4052
4D080000,MOB_KK_PLANAR,MOB_KK_PLANAR,56,6317
4E080000,MOB_KK_PENON_F,MOB_KK_PENON_F,54,5586
4F080000,MOB_KK_PENON_W,MOB_KK_PENON_W,55,6084
81080000,NPC_TD_THIEF_BUY,NPC_TD_THIEF_BUY,0,0
82080000,NPC_TD_THIEF_SELL,NPC_TD_THIEF_SELL,0,0
83080000,NPC_TD_THIEF_A,NPC_TD_THIEF_A,0,0
84080000,NPC_TD_THIEF_B,NPC_TD_THIEF_B,0,0
85080000,NPC_TD_THIEF_C,NPC_TD_THIEF_C,0,0
86080000,NPC_TD_THIEF_D,NPC_TD_THIEF_D,0,0
87080000,COS_T_DONKEY,COS_T_DONKEY,20,3933
88080000,COS_T_HORSE1,COS_T_HORSE1,30,6571
89080000,COS_T_HORSE2,COS_T_HORSE2,45,12428
8A080000,COS_T_HORSE3,COS_T_HORSE3,60,21552
8B080000,COS_T_CAMEL1,COS_T_CAMEL1,30,13141
8C080000,COS_T_CAMEL2,COS_T_CAMEL2,45,24857
8D080000,COS_T_CAMEL3,COS_T_CAMEL3,60,43104
8E080000,COS_C_DONKEY,COS_C_DONKEY,10,508
8F080000,COS_C_HORSE1,COS_C_HORSE1,20,983
90080000,COS_C_HORSE2,COS_C_HORSE2,40,2544
91080000,COS_C_HORSE3,COS_C_HORSE3,60,5388
92080000,COS_C_CAMEL1,COS_C_CAMEL1,20,1475
93080000,COS_C_CAMEL2,COS_C_CAMEL2,40,3815
94080000,COS_C_CAMEL3,COS_C_CAMEL3,60,8082
AE080000,MOB_THIEF_NPC_0001,MOB_THIEF_NPC_0001,1,65
AF080000,MOB_THIEF_NPC_0002,MOB_THIEF_NPC_0002,1,54
B0080000,MOB_THIEF_NPC_0003,MOB_THIEF_NPC_0003,1,54
B1080000,MOB_THIEF_NPC_0004,MOB_THIEF_NPC_0004,1,65
B2080000,MOB_THIEF_NPC_0005,MOB_THIEF_NPC_0005,1,54
B3080000,MOB_THIEF_NPC_0006,MOB_THIEF_NPC_0006,1,54
B4080000,MOB_THIEF_NPC_0007,MOB_THIEF_NPC_0007,1,65
B5080000,MOB_THIEF_NPC_0008,MOB_THIEF_NPC_0008,1,54
B6080000,MOB_THIEF_NPC_0009,MOB_THIEF_NPC_0009,1,54
B7080000,MOB_THIEF_NPC_0010,MOB_THIEF_NPC_0010,1,65
B8080000,MOB_THIEF_NPC_0011,MOB_THIEF_NPC_0011,2,55
B9080000,MOB_THIEF_NPC_0012,MOB_THIEF_NPC_0012,2,55
BA080000,MOB_THIEF_NPC_0013,MOB_THIEF_NPC_0013,2,68
BB080000,MOB_THIEF_NPC_0014,MOB_THIEF_NPC_0014,2,55
BC080000,MOB_THIEF_NPC_0015,MOB_THIEF_NPC_0015,2,55
BD080000,MOB_THIEF_NPC_0016,MOB_THIEF_NPC_0016,2,68
BE080000,MOB_THIEF_NPC_0017,MOB_THIEF_NPC_0017,2,55
BF080000,MOB_THIEF_NPC_0018,MOB_THIEF_NPC_0018,2,55
C0080000,MOB_THIEF_NPC_0019,MOB_THIEF_NPC_0019,2,68
C1080000,MOB_THIEF_NPC_0020,MOB_THIEF_NPC_0020,2,55
C2080000,MOB_THIEF_NPC_0021,MOB_THIEF_NPC_0021,3,85
C3080000,MOB_THIEF_NPC_0022,MOB_THIEF_NPC_0022,3,93
C4080000,MOB_THIEF_NPC_0023,MOB_THIEF_NPC_0023,3,85
C5080000,MOB_THIEF_NPC_0024,MOB_THIEF_NPC_0024,3,85
C6080000,MOB_THIEF_NPC_0025,MOB_THIEF_NPC_0025,3,93
C7080000,MOB_THIEF_NPC_0026,MOB_THIEF_NPC_0026,3,85
C8080000,MOB_THIEF_NPC_0027,MOB_THIEF_NPC_0027,3,85
C9080000,MOB_THIEF_NPC_0028,MOB_THIEF_NPC_0028,3,93
CA080000,MOB_THIEF_NPC_0029,MOB_THIEF_NPC_0029,3,85
CB080000,MOB_THIEF_NPC_0030,MOB_THIEF_NPC_0030,3,85
CC080000,MOB_THIEF_NPC_0031,MOB_THIEF_NPC_0031,4,94
CD080000,MOB_THIEF_NPC_0032,MOB_THIEF_NPC_0032,4,83
CE080000,MOB_THIEF_NPC_0033,MOB_THIEF_NPC_0033,4,83
CF080000,MOB_THIEF_NPC_0034,MOB_THIEF_NPC_0034,4,94
D0080000,MOB_THIEF_NPC_0035,MOB_THIEF_NPC_0035,4,83
D1080000,MOB_THIEF_NPC_0036,MOB_THIEF_NPC_0036,4,83
D2080000,MOB_THIEF_NPC_0037,MOB_THIEF_NPC_0037,4,94
D3080000,MOB_THIEF_NPC_0038,MOB_THIEF_NPC_0038,4,83
D4080000,MOB_THIEF_NPC_0039,MOB_THIEF_NPC_0039,4,83
D5080000,MOB_THIEF_NPC_0040,MOB_THIEF_NPC_0040,4,94
D6080000,MOB_THIEF_NPC_0041,MOB_THIEF_NPC_0041,5,119
D7080000,MOB_THIEF_NPC_0042,MOB_THIEF_NPC_0042,5,119
D8080000,MOB_THIEF_NPC_0043,MOB_THIEF_NPC_0043,5,124
D9080000,MOB_THIEF_NPC_0044,MOB_THIEF_NPC_0044,5,119
DA080000,MOB_THIEF_NPC_0045,MOB_THIEF_NPC_0045,5,119
DB080000,MOB_THIEF_NPC_0046,MOB_THIEF_NPC_0046,5,124
DC080000,MOB_THIEF_NPC_0047,MOB_THIEF_NPC_0047,5,119
DD080000,MOB_THIEF_NPC_0048,MOB_THIEF_NPC_0048,5,119
DE080000,MOB_THIEF_NPC_0049,MOB_THIEF_NPC_0049,5,124
DF080000,MOB_THIEF_NPC_0050,MOB_THIEF_NPC_0050,5,119
E0080000,MOB_THIEF_NPC_0051,MOB_THIEF_NPC_0051,6,114
E1080000,MOB_THIEF_NPC_0052,MOB_THIEF_NPC_0052,6,123
E2080000,MOB_THIEF_NPC_0053,MOB_THIEF_NPC_0053,6,114
E3080000,MOB_THIEF_NPC_0054,MOB_THIEF_NPC_0054,6,114
E4080000,MOB_THIEF_NPC_0055,MOB_THIEF_NPC_0055,6,123
E5080000,MOB_THIEF_NPC_0056,MOB_THIEF_NPC_0056,6,114
E6080000,MOB_THIEF_NPC_0057,MOB_THIEF_NPC_0057,6,114
E7080000,MOB_THIEF_NPC_0058,MOB_THIEF_NPC_0058,6,123
E8080000,MOB_THIEF_NPC_0059,MOB_THIEF_NPC_0059,6,114
E9080000,MOB_THIEF_NPC_0060,MOB_THIEF_NPC_0060,6,114
EA080000,MOB_THIEF_NPC_0061,MOB_THIEF_NPC_0061,7,158
EB080000,MOB_THIEF_NPC_0062,MOB_THIEF_NPC_0062,7,156
EC080000,MOB_THIEF_NPC_0063,MOB_THIEF_NPC_0063,7,156
ED080000,MOB_THIEF_NPC_0064,MOB_THIEF_NPC_0064,7,158
EE080000,MOB_THIEF_NPC_0065,MOB_THIEF_NPC_0065,7,156
EF080000,MOB_THIEF_NPC_0066,MOB_THIEF_NPC_0066,7,156
F0080000,MOB_THIEF_NPC_0067,MOB_THIEF_NPC_0067,7,158
F1080000,MOB_THIEF_NPC_0068,MOB_THIEF_NPC_0068,7,156
F2080000,MOB_THIEF_NPC_0069,MOB_THIEF_NPC_0069,7,156
F3080000,MOB_THIEF_NPC_0070,MOB_THIEF_NPC_0070,7,158
F4080000,MOB_THIEF_NPC_0071,MOB_THIEF_NPC_0071,8,204
F5080000,MOB_THIEF_NPC_0072,MOB_THIEF_NPC_0072,8,204
F6080000,MOB_THIEF_NPC_0073,MOB_THIEF_NPC_0073,8,197
F7080000,MOB_THIEF_NPC_0074,MOB_THIEF_NPC_0074,8,204
F8080000,MOB_THIEF_NPC_0075,MOB_THIEF_NPC_0075,8,204
F9080000,MOB_THIEF_NPC_0076,MOB_THIEF_NPC_0076,8,197
FA080000,MOB_THIEF_NPC_0077,MOB_THIEF_NPC_0077,8,204
FB080000,MOB_THIEF_NPC_0078,MOB_THIEF_NPC_0078,8,204
FC080000,MOB_THIEF_NPC_0079,MOB_THIEF_NPC_0079,8,197
FD080000,MOB_THIEF_NPC_0080,MOB_THIEF_NPC_0080,8,204
FE080000,MOB_THIEF_NPC_0081,MOB_THIEF_NPC_0081,9,194
FF080000,MOB_THIEF_NPC_0082,MOB_THIEF_NPC_0082,9,192
00090000,MOB_THIEF_NPC_0083,MOB_THIEF_NPC_0083,9,194
01090000,MOB_THIEF_NPC_0084,MOB_THIEF_NPC_0084,9,194
02090000,MOB_THIEF_NPC_0085,MOB_THIEF_NPC_0085,9,192
03090000,MOB_THIEF_NPC_0086,MOB_THIEF_NPC_0086,9,194
04090000,MOB_THIEF_NPC_0087,MOB_THIEF_NPC_0087,9,194
05090000,MOB_THIEF_NPC_0088,MOB_THIEF_NPC_0088,9,192
06090000,MOB_THIEF_NPC_0089,MOB_THIEF_NPC_0089,9,194
07090000,MOB_THIEF_NPC_0090,MOB_THIEF_NPC_0090,9,194
08090000,MOB_THIEF_NPC_0091,MOB_THIEF_NPC_0091,10,236
09090000,MOB_THIEF_NPC_0092,MOB_THIEF_NPC_0092,10,249
0A090000,MOB_THIEF_NPC_0093,MOB_THIEF_NPC_0093,10,249
0B090000,MOB_THIEF_NPC_0094,MOB_THIEF_NPC_0094,10,236
0C090000,MOB_THIEF_NPC_0095,MOB_THIEF_NPC_0095,10,249
0D090000,MOB_THIEF_NPC_0096,MOB_THIEF_NPC_0096,10,249
0E090000,MOB_THIEF_NPC_0097,MOB_THIEF_NPC_0097,10,236
0F090000,MOB_THIEF_NPC_0098,MOB_THIEF_NPC_0098,10,249
10090000,MOB_THIEF_NPC_0099,MOB_THIEF_NPC_0099,10,249
11090000,MOB_THIEF_NPC_0100,MOB_THIEF_NPC_0100,10,236
12090000,MOB_THIEF_NPC_0101,MOB_THIEF_NPC_0101,11,310
13090000,MOB_THIEF_NPC_0102,MOB_THIEF_NPC_0102,11,310
14090000,MOB_THIEF_NPC_0103,MOB_THIEF_NPC_0103,11,286
15090000,MOB_THIEF_NPC_0104,MOB_THIEF_NPC_0104,11,310
16090000,MOB_THIEF_NPC_0105,MOB_THIEF_NPC_0105,11,310
17090000,MOB_THIEF_NPC_0106,MOB_THIEF_NPC_0106,11,286
18090000,MOB_THIEF_NPC_0107,MOB_THIEF_NPC_0107,11,310
19090000,MOB_THIEF_NPC_0108,MOB_THIEF_NPC_0108,11,310
1A090000,MOB_THIEF_NPC_0109,MOB_THIEF_NPC_0109,11,286
1B090000,MOB_THIEF_NPC_0110,MOB_THIEF_NPC_0110,11,310
1C090000,MOB_THIEF_NPC_0111,MOB_THIEF_NPC_0111,12,359
1D090000,MOB_THIEF_NPC_0112,MOB_THIEF_NPC_0112,12,324
1E090000,MOB_THIEF_NPC_0113,MOB_THIEF_NPC_0113,12,359
1F090000,MOB_THIEF_NPC_0114,MOB_THIEF_NPC_0114,12,359
20090000,MOB_THIEF_NPC_0115,MOB_THIEF_NPC_0115,12,324
21090000,MOB_THIEF_NPC_0116,MOB_THIEF_NPC_0116,12,359
22090000,MOB_THIEF_NPC_0117,MOB_THIEF_NPC_0117,12,359
23090000,MOB_THIEF_NPC_0118,MOB_THIEF_NPC_0118,12,324
24090000,MOB_THIEF_NPC_0119,MOB_THIEF_NPC_0119,12,359
25090000,MOB_THIEF_NPC_0120,MOB_THIEF_NPC_0120,12,359
26090000,MOB_THIEF_NPC_0121,MOB_THIEF_NPC_0121,13,364
27090000,MOB_THIEF_NPC_0122,MOB_THIEF_NPC_0122,13,411
28090000,MOB_THIEF_NPC_0123,MOB_THIEF_NPC_0123,13,411
29090000,MOB_THIEF_NPC_0124,MOB_THIEF_NPC_0124,13,364
2A090000,MOB_THIEF_NPC_0125,MOB_THIEF_NPC_0125,13,411
