//ID,Type,Name,Level,Stack,Durability
76000000,ITEM_CH_BLADE_04_C,Gold General Blade,29,1,88
77000000,ITEM_CH_BLADE_05_A,Lunar Blade,32,1,90
78000000,ITEM_CH_BLADE_05_B,Rune Lunar Blade,35,1,92
79000000,ITEM_CH_BLADE_05_C,Holy Lunar Blade,38,1,94
7A000000,ITEM_CH_BLADE_06_A,Python's Blade,42,1,97
7B000000,ITEM_CH_BLADE_06_B,Python's Freezing Blade,45,1,99
7C000000,ITEM_CH_BLADE_06_C,Python's Frozen Blade,48,1,101
7D000000,ITEM_CH_BLADE_07_A,Phoenix Cornu Blade,52,1,103
7E000000,ITEM_CH_BLADE_07_B,Girin Cornu Blade,56,1,106
7F000000,ITEM_CH_BLADE_07_C,Dragon Cornu Blade,60,1,109
80000000,ITEM_CH_BLADE_08_A,Flaming Blaze Blade,64,1,112
81000000,ITEM_CH_BLADE_08_B,Burning Blaze Blade,68,1,114
82000000,ITEM_CH_BLADE_08_C,Hellfire Blaze Blade,72,1,117
83000000,ITEM_CH_BLADE_09_A,Mercury Astral Blade,76,1,120
84000000,ITEM_CH_BLADE_09_B,Venus Astral Blade,80,1,123
85000000,ITEM_CH_BLADE_09_C,Mars Astral Blade,85,1,126
86000000,ITEM_CH_BLADE_10_A,Brutal Giant Barbaric Sword ,90,1,129
87000000,ITEM_CH_BLADE_10_B,Savage Giant Barbaric Sword ,94,1,132
88000000,ITEM_CH_BLADE_10_C,Ferocious Giant Barbaric Sword ,98,1,135
89000000,ITEM_CH_BLADE_11_A,Strom Adamantine Blade,101,1,137
8A000000,ITEM_CH_BLADE_11_B,Rainfall Adamantine Blade,104,1,139
8B000000,ITEM_CH_BLADE_11_C,Blizzard Adamantine Blade,108,1,142
8C000000,ITEM_CH_BLADE_12_A,White Dragon Blade,110,1,144
8D000000,ITEM_CH_BLADE_12_B,Bluish Dragon Blade,114,1,146
8E000000,ITEM_CH_BLADE_12_C,Golden Dragon Blade,118,1,147
8F000000,ITEM_CH_SPEAR_01_A,Crescent,1,1,42
90000000,ITEM_CH_SPEAR_01_B,Short Crescent,3,1,42
91000000,ITEM_CH_SPEAR_01_C,Long Crescent,5,1,43
92000000,ITEM_CH_SPEAR_02_A,Infantry Long Pike,8,1,44
93000000,ITEM_CH_SPEAR_02_B,Lancer Long Pike,10,1,45
94000000,ITEM_CH_SPEAR_02_C,Cavalry Long Pike,13,1,46
95000000,ITEM_CH_SPEAR_03_A,Vicious Snake Spear,16,1,48
96000000,ITEM_CH_SPEAR_03_B,Atrocious Snake Spear,18,1,48
97000000,ITEM_CH_SPEAR_03_C,Merciless Snake Spear,21,1,50
98000000,ITEM_CH_SPEAR_04_A,Iron Lance,24,1,51
99000000,ITEM_CH_SPEAR_04_B,Silver Lance,26,1,52
9A000000,ITEM_CH_SPEAR_04_C,Gold Lance,29,1,53
9B000000,ITEM_CH_SPEAR_05_A,Long Halbert,32,1,54
9C000000,ITEM_CH_SPEAR_05_B,Double Halbert,35,1,55
9D000000,ITEM_CH_SPEAR_05_C,Great Halbert,38,1,57
9E000000,ITEM_CH_SPEAR_06_A,Python's Tough Spear,42,1,58
9F000000,ITEM_CH_SPEAR_06_B,Python's Hard Spear,45,1,60
A0000000,ITEM_CH_SPEAR_06_C,Pyhon's Sturdy Spear,48,1,61
A1000000,ITEM_CH_SPEAR_07_A,Phoenix Horn Spear,52,1,62
A2000000,ITEM_CH_SPEAR_07_B,Prodigy Horn Spear,56,1,64
A3000000,ITEM_CH_SPEAR_07_C,Dragon Horn Spear,60,1,66
A4000000,ITEM_CH_SPEAR_08_A,Holy Iranggjingun Pike,64,1,67
A5000000,ITEM_CH_SPEAR_08_B,Probound Iranggjingun Pike,68,1,69
A6000000,ITEM_CH_SPEAR_08_C,Divine Iranggjingun Pike,72,1,71
A7000000,ITEM_CH_SPEAR_09_A,Evil Flame Spear,76,1,72
A8000000,ITEM_CH_SPEAR_09_B,Heavy Flame Spear,80,1,74
A9000000,ITEM_CH_SPEAR_09_C,True Flame Spear,85,1,76
AA000000,ITEM_CH_SPEAR_10_A,Devil Poison Horn Spear ,90,1,78
AB000000,ITEM_CH_SPEAR_10_B,Blood Poison Horn Spear,94,1,80
AC000000,ITEM_CH_SPEAR_10_C,Venom Poison Horn Spear,98,1,81
AD000000,ITEM_CH_SPEAR_11_A,Reaper Soul Spear,101,1,83
AE000000,ITEM_CH_SPEAR_11_B,Evil spirit Soul Spear,104,1,84
AF000000,ITEM_CH_SPEAR_11_C,Satan Soul Spear,108,1,85
B0000000,ITEM_CH_SPEAR_12_A,White Dragon Halbert,110,1,87
B1000000,ITEM_CH_SPEAR_12_B,Bluish Dragon Halbert,114,1,88
B2000000,ITEM_CH_SPEAR_12_C,Golden Dragon Halbert,118,1,89
B3000000,ITEM_CH_TBLADE_01_A,Glaive,1,1,46
B4000000,ITEM_CH_TBLADE_01_B,Short Glaive,3,1,47
B5000000,ITEM_CH_TBLADE_01_C,Long Glaive,5,1,48
B6000000,ITEM_CH_TBLADE_02_A,Bronze Glaive,8,1,49
B7000000,ITEM_CH_TBLADE_02_B,Long Bronze Glaive,10,1,50
B8000000,ITEM_CH_TBLADE_02_C,Double Bronze Glaive,13,1,51
B9000000,ITEM_CH_TBLADE_03_A,Merchant's Hook Glaive,16,1,53
BA000000,ITEM_CH_TBLADE_03_B,Thief's Hook Glaive,18,1,54
BB000000,ITEM_CH_TBLADE_03_C,Hunter's Hook Glaive,21,1,55
BC000000,ITEM_CH_TBLADE_04_A,Three Ring Lightning Glaive,24,1,56
BD000000,ITEM_CH_TBLADE_04_B,Four Ring Lightning Glaive,26,1,57
BE000000,ITEM_CH_TBLADE_04_C,Five Ring Lightning Glaive,29,1,59
BF000000,ITEM_CH_TBLADE_05_A,Cutting Glaive of Hades,32,1,60
C0000000,ITEM_CH_TBLADE_05_B,Cutting Glaive of Heaven,35,1,61
C1000000,ITEM_CH_TBLADE_05_C,Cutting Glaive of Elysium,38,1,63
C2000000,ITEM_CH_TBLADE_06_A,Blue Moon Glaive,42,1,64
C3000000,ITEM_CH_TBLADE_06_B,Black Moon Glaive,45,1,66
C4000000,ITEM_CH_TBLADE_06_C,Silver Moon Glaive,48,1,67
C5000000,ITEM_CH_TBLADE_07_A,Muhwang's Storm Glaive,52,1,69
C6000000,ITEM_CH_TBLADE_07_B,Muhwang's Flame Glaive,56,1,71
C7000000,ITEM_CH_TBLADE_07_C,Muhwang's Frozne Glaive,60,1,73
C8000000,ITEM_CH_TBLADE_08_A,Polearm,64,1,74
C9000000,ITEM_CH_TBLADE_08_B,Long Polearm,68,1,76
CA000000,ITEM_CH_TBLADE_08_C,Double Polearm,72,1,78
CB000000,ITEM_CH_TBLADE_09_A,Apostasy Demon Polearm,76,1,80
CC000000,ITEM_CH_TBLADE_09_B,Ghost Demon Polearm,80,1,82
CD000000,ITEM_CH_TBLADE_09_C,Esoteric Demon Polearm,85,1,84
CE000000,ITEM_CH_TBLADE_10_A,Devil Green Dragon Crescent Blade ,90,1,86
CF000000,ITEM_CH_TBLADE_10_B,Blood Green Dragon Crescent Blade ,94,1,88
D0000000,ITEM_CH_TBLADE_10_C,Venom Green Dragon Crescent Blade ,98,1,90
D1000000,ITEM_CH_TBLADE_11_A,Horyeokbongin Polearm,101,1,91
D2000000,ITEM_CH_TBLADE_11_B,Horyeokbongma Polearm,104,1,93
D3000000,ITEM_CH_TBLADE_11_C,Horyeokbongsin Polearm,108,1,94
D4000000,ITEM_CH_TBLADE_12_A,Bokhi Cryptic Polearm,110,1,96
D5000000,ITEM_CH_TBLADE_12_B,Yeomje Cryptic Polearm,114,1,97
D6000000,ITEM_CH_TBLADE_12_C,Chwiu Cryptic Polearm,118,1,98
D7000000,ITEM_CH_BOW_01_A,Copper Bow,1,1,47
D8000000,ITEM_CH_BOW_01_B,Long Copper Bow,3,1,48
D9000000,ITEM_CH_BOW_01_C,Double Copper Bow,5,1,49
DA000000,ITEM_CH_BOW_02_A,Infantry Bronz Bow,8,1,50
DB000000,ITEM_CH_BOW_02_B,Hunter Bronz Bow,10,1,51
DC000000,ITEM_CH_BOW_02_C,Archer Bronz Bow,13,1,53
DD000000,ITEM_CH_BOW_03_A,Strong Iron Bow,16,1,54
DE000000,ITEM_CH_BOW_03_B,Powerful Iron Bow,18,1,55
DF000000,ITEM_CH_BOW_03_C,Aamant Iron Bow,21,1,57
E0000000,ITEM_CH_BOW_04_A,Warrior's Horseman Bow,24,1,58
E1000000,ITEM_CH_BOW_04_B,"Warlord;s Horseman Bow",26,1,59
E2000000,ITEM_CH_BOW_04_C,Patriarch's Horseman Bow,29,1,60
E3000000,ITEM_CH_BOW_05_A,Shaman's Occult Bow,32,1,62
E4000000,ITEM_CH_BOW_05_B,Conjurator's Occult Bow,35,1,63
E5000000,ITEM_CH_BOW_05_C,Mage's Occult Bow,38,1,64
E6000000,ITEM_CH_BOW_06_A,Eagle Horn Bow,42,1,66
E7000000,ITEM_CH_BOW_06_B,Buffalo Horn Bow,45,1,68
E8000000,ITEM_CH_BOW_06_C,Python Horn Bow,48,1,69
E9000000,ITEM_CH_BOW_07_A,Vicious Snake Bow,52,1,71
EA000000,ITEM_CH_BOW_07_B,Atrocious Snake Bow,56,1,73
EB000000,ITEM_CH_BOW_07_C,Merciless Snake Bow,60,1,75
EC000000,ITEM_CH_BOW_08_A,Shiny Moon Bow,64,1,77
ED000000,ITEM_CH_BOW_08_B,Blessed Moon Bow,68,1,78
EE000000,ITEM_CH_BOW_08_C,Glorious Moon Bow,72,1,80
EF000000,ITEM_CH_BOW_09_A,High Clouds Sinnok Bow,76,1,82
F0000000,ITEM_CH_BOW_09_B,Shining Clouds Sinnok Bow,80,1,84
F1000000,ITEM_CH_BOW_09_C,Ocean Clouds Sinnok Bow,85,1,86
F2000000,ITEM_CH_BOW_10_A,Giant Ye's Divine Bow ,90,1,89
F3000000,ITEM_CH_BOW_10_B,Colossus Ye's Divine Bow ,94,1,91
F4000000,ITEM_CH_BOW_10_C,Titan Ye's Divine Bow ,98,1,92
F5000000,ITEM_CH_BOW_11_A,Mirage Illusion Bow,101,1,94
F6000000,ITEM_CH_BOW_11_B,Visionary Illusion Bow,104,1,95
F7000000,ITEM_CH_BOW_11_C,Hallucination Illusion Bow,108,1,97
F8000000,ITEM_CH_BOW_12_A,Rainstorm Poseidon Bow,110,1,98
F9000000,ITEM_CH_BOW_12_B,Windstorm Poseidon Bow,114,1,100
FA000000,ITEM_CH_BOW_12_C,Icestorm Poseidon Bow,118,1,101
FB000000,ITEM_CH_SHIELD_01_A,Copper Shield,1,1,46
FC000000,ITEM_CH_SHIELD_01_B,Copper Round Shield,3,1,47
FD000000,ITEM_CH_SHIELD_01_C,Copper Square Shield,5,1,48
FE000000,ITEM_CH_SHIELD_02_A,Bronze Shield,8,1,49
FF000000,ITEM_CH_SHIELD_02_B,Bronze Round Shield,10,1,50
00010000,ITEM_CH_SHIELD_02_C,Bronze Square Shield,13,1,51
01010000,ITEM_CH_SHIELD_03_A,Infantry Iron Shield,16,1,53
02010000,ITEM_CH_SHIELD_03_B,Lancer Iron Shield,18,1,54
03010000,ITEM_CH_SHIELD_03_C,Cavalry Iron Shield,21,1,55
04010000,ITEM_CH_SHIELD_04_A,Loyalty Steel Shield,24,1,56
05010000,ITEM_CH_SHIELD_04_B,Honor Steel Shield,26,1,57
06010000,ITEM_CH_SHIELD_04_C,Hero Steel Shield,29,1,59
07010000,ITEM_CH_SHIELD_05_A,Strerling Silver Shield,32,1,60
08010000,ITEM_CH_SHIELD_05_B,Noble Silver Shield,35,1,61
09010000,ITEM_CH_SHIELD_05_C,Sacred Silver Shield,38,1,63
0A010000,ITEM_CH_SHIELD_06_A,Robust Guard Shield,42,1,64
0B010000,ITEM_CH_SHIELD_06_B,Impregnable Guard Shield,45,1,66
0C010000,ITEM_CH_SHIELD_06_C,Godly Guard Shield,48,1,67
0D010000,ITEM_CH_SHIELD_07_A,Jecheonseong's Shield,52,1,69
0E010000,ITEM_CH_SHIELD_07_B,Jecheonilseong's Shield,56,1,71
0F010000,ITEM_CH_SHIELD_07_C,Jecheondaeseong's Shield,60,1,73
10010000,ITEM_CH_SHIELD_08_A,Taegeuk Shield,64,1,74
11010000,ITEM_CH_SHIELD_08_B,Gungon Taegeuk Shield,68,1,76
12010000,ITEM_CH_SHIELD_08_C,Gamri Taegeuk Shield,72,1,78
13010000,ITEM_CH_SHIELD_09_A,Flying Horse Scale Shield,76,1,80
14010000,ITEM_CH_SHIELD_09_B,Heavenly Horse Scale Shield,80,1,82
15010000,ITEM_CH_SHIELD_09_C,Divine Horse Scale Shield,85,1,84
16010000,ITEM_CH_SHIELD_10_A,Tiger Bone Shield ,90,1,86
17010000,ITEM_CH_SHIELD_10_B,Black Tiger Bone Shield ,94,1,88
18010000,ITEM_CH_SHIELD_10_C,White Tiger Bone Shield,98,1,90
19010000,ITEM_CH_SHIELD_11_A,Splinter Blade Shield,101,1,91
1A010000,ITEM_CH_SHIELD_11_B,Spike Blade Shield,104,1,93
1B010000,ITEM_CH_SHIELD_11_C,Black horn Blade Shield,108,1,94
1C010000,ITEM_CH_SHIELD_12_A,White Dragon Shield,110,1,96
1D010000,ITEM_CH_SHIELD_12_B,Blue Dragon Shield,114,1,97
1E010000,ITEM_CH_SHIELD_12_C,Gold Dragon Shield,118,1,98
1F010000,ITEM_CH_M_HEAVY_01_HA_A,Copper Casque,1,1,48
20010000,ITEM_CH_M_HEAVY_01_HA_B,Wrought Copper Casque,6,1,50
21010000,ITEM_CH_M_HEAVY_01_HA_C,Refining Copper Casque,8,1,51
22010000,ITEM_CH_M_HEAVY_02_HA_A,Infantry Bronze Casque,11,1,53
23010000,ITEM_CH_M_HEAVY_02_HA_B,Lancer Bronze Casque,13,1,54
24010000,ITEM_CH_M_HEAVY_02_HA_C,Cavalry Bronze Casque,16,1,55
25010000,ITEM_CH_M_HEAVY_03_HA_A,Oh Scale Casque,19,1,57
26010000,ITEM_CH_M_HEAVY_03_HA_B,Chok Scale Casque,21,1,58
27010000,ITEM_CH_M_HEAVY_03_HA_C,Wi Scale Casque,24,1,59
28010000,ITEM_CH_M_HEAVY_04_HA_A,Holy Pure White Casque,27,1,60
29010000,ITEM_CH_M_HEAVY_04_HA_B,Glory Pure White Casque,29,1,61
2A010000,ITEM_CH_M_HEAVY_04_HA_C,Divine Pure White Casque,32,1,63
2B010000,ITEM_CH_M_HEAVY_05_HA_A,Iron Hard Scale Casque,35,1,64
2C010000,ITEM_CH_M_HEAVY_05_HA_B,Silver Hard Scale Casque,38,1,66
2D010000,ITEM_CH_M_HEAVY_05_HA_C,Gold Hard Scale Casque,41,1,67
2E010000,ITEM_CH_M_HEAVY_06_HA_A,Forest Python Casque,45,1,69
2F010000,ITEM_CH_M_HEAVY_06_HA_B,Woodland Python Casque,48,1,70
30010000,ITEM_CH_M_HEAVY_06_HA_C,Jungle Python Casque,51,1,72
31010000,ITEM_CH_M_HEAVY_07_HA_A,Crystal Jewel Casque,55,1,74
32010000,ITEM_CH_M_HEAVY_07_HA_B,Topaz Jewel Casque,59,1,76
33010000,ITEM_CH_M_HEAVY_07_HA_C,Spinel Jewel Casque,63,1,78
34010000,ITEM_CH_M_HEAVY_08_HA_A,Hades Pegasus Casque,67,1,79
35010000,ITEM_CH_M_HEAVY_08_HA_B,Heaven Pegasus Casque,71,1,81
36010000,ITEM_CH_M_HEAVY_08_HA_C,Elysium Pegasus Casque,75,1,83
37010000,ITEM_CH_M_HEAVY_09_HA_A,White Twin Horn Casque,79,1,85
38010000,ITEM_CH_M_HEAVY_09_HA_B,Blue Twin Horn Casque,83,1,87
39010000,ITEM_CH_M_HEAVY_09_HA_C,Black Twin Horn Casque,88,1,89
3A010000,ITEM_CH_M_HEAVY_10_HA_A,Black Beast Casque,91,1,91
3B010000,ITEM_CH_M_HEAVY_10_HA_B,Black Tiger Casque,95,1,93
3C010000,ITEM_CH_M_HEAVY_10_HA_C,Black Ghost Casque,99,1,95
3D010000,ITEM_CH_M_HEAVY_11_HA_A,Drako War God Casque,101,1,96
3E010000,ITEM_CH_M_HEAVY_11_HA_B,Vampire Slayer Casque,105,1,97
3F010000,ITEM_CH_M_HEAVY_11_HA_C,Dragon Slayer Casque,109,1,99
40010000,ITEM_CH_M_HEAVY_12_HA_A,Reo Casque,110,1,101
41010000,ITEM_CH_M_HEAVY_12_HA_B,Angel Wing Casque,114,1,102
42010000,ITEM_CH_M_HEAVY_12_HA_C,Valkyrie Wing Casque,118,1,103
43010000,ITEM_CH_M_HEAVY_01_CA_A,Copper Crown,1,1,48
44010000,ITEM_CH_M_HEAVY_01_CA_B,Wrought Copper Crown,6,1,50
45010000,ITEM_CH_M_HEAVY_01_CA_C,Refining Copper Crown,8,1,51
46010000,ITEM_CH_M_HEAVY_02_CA_A,Infantry Bronze Crown,11,1,53
47010000,ITEM_CH_M_HEAVY_02_CA_B,Lancer Bronze Crown,13,1,54
48010000,ITEM_CH_M_HEAVY_02_CA_C,Cavalry Bronze Crown,16,1,55
49010000,ITEM_CH_M_HEAVY_03_CA_A,Oh Scale Crown,19,1,57
4A010000,ITEM_CH_M_HEAVY_03_CA_B,Chok Scale Crown,21,1,58
4B010000,ITEM_CH_M_HEAVY_03_CA_C,Wi Scale Crown,24,1,59
4C010000,ITEM_CH_M_HEAVY_04_CA_A,Holy Pure White Crown,27,1,60
4D010000,ITEM_CH_M_HEAVY_04_CA_B,Glory Pure White Crown,29,1,61
4E010000,ITEM_CH_M_HEAVY_04_CA_C,Divine Pure White Crown,32,1,63
4F010000,ITEM_CH_M_HEAVY_05_CA_A,Iron Hard Scale Crown,35,1,64
50010000,ITEM_CH_M_HEAVY_05_CA_B,Silver Hard Scale Crown,38,1,66
51010000,ITEM_CH_M_HEAVY_05_CA_C,Gold Hard Scale Crown,41,1,67
52010000,ITEM_CH_M_HEAVY_06_CA_A,Forest Python Crown,45,1,69
53010000,ITEM_CH_M_HEAVY_06_CA_B,Woodland Python Crown,48,1,70
54010000,ITEM_CH_M_HEAVY_06_CA_C,Jungle Python Crown,51,1,72
55010000,ITEM_CH_M_HEAVY_07_CA_A,Crystal Jewel Crown,55,1,74
56010000,ITEM_CH_M_HEAVY_07_CA_B,Topaz Jewel Crown,59,1,76
57010000,ITEM_CH_M_HEAVY_07_CA_C,Spinel Jewel Crown,63,1,78
58010000,ITEM_CH_M_HEAVY_08_CA_A,Hades Pegasus Crown,67,1,79
59010000,ITEM_CH_M_HEAVY_08_CA_B,Heaven Pegasus Crown,71,1,81
5A010000,ITEM_CH_M_HEAVY_08_CA_C,Elysium Pegasus Crown,75,1,83
5B010000,ITEM_CH_M_HEAVY_09_CA_A,White Twin Horn Crown,79,1,85
5C010000,ITEM_CH_M_HEAVY_09_CA_B,Blue Twin Horn Crown,83,1,87
5D010000,ITEM_CH_M_HEAVY_09_CA_C,Black Twin Horn Crown,88,1,89
5E010000,ITEM_CH_M_HEAVY_10_CA_A,Black Beast Crown,91,1,91
5F010000,ITEM_CH_M_HEAVY_10_CA_B,Black Tiger Crown,95,1,93
60010000,ITEM_CH_M_HEAVY_10_CA_C,Black Ghost Crown,99,1,95
61010000,ITEM_CH_M_HEAVY_11_CA_A,Serpent Slayer Crown,102,1,96
62010000,ITEM_CH_M_HEAVY_11_CA_B,Vampire Slayer Crown,105,1,97
63010000,ITEM_CH_M_HEAVY_11_CA_C,Dragon Slayer Crown,109,1,99
64010000,ITEM_CH_M_HEAVY_12_CA_A,Reo Crown,111,1,101
65010000,ITEM_CH_M_HEAVY_12_CA_B,Angel Wing Crown,115,1,102
66010000,ITEM_CH_M_HEAVY_12_CA_C,Valkyrie Wing Crown,118,1,106
67010000,ITEM_CH_M_HEAVY_01_SA_A,Copper Shoulder,1,1,48
68010000,ITEM_CH_M_HEAVY_01_SA_B,Wrought Copper Shoulder,4,1,49
69010000,ITEM_CH_M_HEAVY_01_SA_C,Refining Copper Shoulder,6,1,50
6A010000,ITEM_CH_M_HEAVY_02_SA_A,Infantry Bronze Shoulder,9,1,52
6B010000,ITEM_CH_M_HEAVY_02_SA_B,Lancer Bronze Shoulder,11,1,53
6C010000,ITEM_CH_M_HEAVY_02_SA_C,Cavalry Bronze Shoulder,14,1,54
6D010000,ITEM_CH_M_HEAVY_03_SA_A,Oh Scale Shoulder,17,1,56
6E010000,ITEM_CH_M_HEAVY_03_SA_B,Chok Scale Shoulder,19,1,57
