//ID,Name,Type,GroupType,Level,CastTime,Cooldown,ObjectReq,UsingType,Force,MP
59,Chain Spear - Nachal,SKILL_CH_SPEAR_CHAIN_B_2S_01,SKILL_CH_SPEAR_CHAIN_B,1,283,0,1,2,258,0
60,Chain Spear - Nachal,SKILL_CH_SPEAR_CHAIN_B_3S_01,SKILL_CH_SPEAR_CHAIN_B,1,580,0,1,2,258,0
61,Chain Spear - Nachal,SKILL_CH_SPEAR_CHAIN_B_4S_01,SKILL_CH_SPEAR_CHAIN_B,1,873,0,1,2,258,0
62,Chain Spear - Shura,SKILL_CH_SPEAR_CHAIN_C_1S_01,SKILL_CH_SPEAR_CHAIN_C,1,910,8000,1,2,258,660
63,Chain Spear - Shura,SKILL_CH_SPEAR_CHAIN_C_2S_01,SKILL_CH_SPEAR_CHAIN_C,1,537,0,1,2,258,0
64,Chain Spear - Shura,SKILL_CH_SPEAR_CHAIN_C_3S_01,SKILL_CH_SPEAR_CHAIN_C,1,845,0,1,2,258,0
65,Chain Spear - Shura,SKILL_CH_SPEAR_CHAIN_C_4S_01,SKILL_CH_SPEAR_CHAIN_C,1,576,0,1,2,258,0
66,Chain Spear - Shura,SKILL_CH_SPEAR_CHAIN_C_5S_01,SKILL_CH_SPEAR_CHAIN_C,1,1065,0,1,2,258,0
67,Flying Dragon - Flow,SKILL_CH_SPEAR_SHOOT_A_01,SKILL_CH_SPEAR_SHOOT_A,1,1165,8000,1,2,258,219
68,Flying Dragon - Fly,SKILL_CH_SPEAR_SHOOT_B_01,SKILL_CH_SPEAR_SHOOT_B,1,1256,8000,1,2,258,623
69,Cheolsam Force,SKILL_CH_SPEAR_PASSIVE_A_01,SKILL_CH_SPEAR_PASSIVE_A,1,0,0,0,0,258,0
70,SKILL_CH_BOW_BASE_01,SKILL_CH_BOW_BASE_01,SKILL_CH_BOW_BASE,1,840,840,1,2,259,0
71,Anti Devil Bow - Missile,SKILL_CH_BOW_CRITICAL_A_01,SKILL_CH_BOW_CRITICAL_A,1,530,4000,1,2,259,21
72,Anti Devil Bow - Wave,SKILL_CH_BOW_CRITICAL_B_01,SKILL_CH_BOW_CRITICAL_B,1,530,4000,1,2,259,122
73,Anti Devil Bow - Steel,SKILL_CH_BOW_CRITICAL_C_01,SKILL_CH_BOW_CRITICAL_C,1,530,4000,1,2,259,388
74,2 Arrow Combo,SKILL_CH_BOW_CHAIN_A_01,SKILL_CH_BOW_CHAIN_A,1,560,4000,1,2,259,15
75,3 Arrow Combo,SKILL_CH_BOW_CHAIN_B_01,SKILL_CH_BOW_CHAIN_B,1,909,4000,1,2,259,90
76,4 Arrow Combo ,SKILL_CH_BOW_CHAIN_C_01,SKILL_CH_BOW_CHAIN_C,1,561,4000,1,2,259,299
77,White Hawk Summon,SKILL_CH_BOW_CALL_A_01,SKILL_CH_BOW_CALL_A,1,1000,1000,0,1,259,51
78,Black Hawk Summon,SKILL_CH_BOW_CALL_B_01,SKILL_CH_BOW_CALL_B,1,1000,1000,0,1,259,225
79,Blue Hawk Summon,SKILL_CH_BOW_CALL_C_01,SKILL_CH_BOW_CALL_C,1,1000,1000,0,1,259,436
80,Autumn Wind - Flame,SKILL_CH_BOW_PIERCE_A_01,SKILL_CH_BOW_PIERCE_A,1,530,5000,1,2,259,50
81,Autumn Wind - Snake,SKILL_CH_BOW_PIERCE_B_01,SKILL_CH_BOW_PIERCE_B,1,530,5000,1,2,259,198
82,Autumn Wind - Blood,SKILL_CH_BOW_PIERCE_C_01,SKILL_CH_BOW_PIERCE_C,1,530,5000,1,2,259,559
83,Demon Soul Arrow,SKILL_CH_BOW_NORMAL_A_01,SKILL_CH_BOW_NORMAL_A,1,0,5000,0,1,259,77
84,Bloody Soul Arrow,SKILL_CH_BOW_NORMAL_B_01,SKILL_CH_BOW_NORMAL_B,1,0,5000,0,1,259,221
85,Berserker Arrow,SKILL_CH_BOW_AREA_A_01,SKILL_CH_BOW_AREA_A,1,530,8000,1,2,259,132
86,Demon Arrow,SKILL_CH_BOW_AREA_B_01,SKILL_CH_BOW_AREA_B,1,530,8000,1,2,259,403
87,Strong Bow - Spirit,SKILL_CH_BOW_POWER_A_01,SKILL_CH_BOW_POWER_A,1,530,8000,1,2,259,230
88,Strong Bow - Vision,SKILL_CH_BOW_POWER_B_01,SKILL_CH_BOW_POWER_B,1,530,8000,1,2,259,583
89,Mind Concentration,SKILL_CH_BOW_PASSIVE_A_01,SKILL_CH_BOW_PASSIVE_A,1,0,0,0,0,259,0
90,Ice River Force,SKILL_CH_COLD_GIGONGTA_A_01,SKILL_CH_COLD_GIGONGTA_A,1,0,5000,0,1,273,52
91,Ice Jade Force,SKILL_CH_COLD_GIGONGTA_B_01,SKILL_CH_COLD_GIGONGTA_B,1,0,6000,0,1,273,206
92,Ice Ocean Force,SKILL_CH_COLD_GIGONGTA_C_01,SKILL_CH_COLD_GIGONGTA_C,1,0,7000,0,1,273,497
93,Weak Guard of Ice,SKILL_CH_COLD_GANGGI_A_01,SKILL_CH_COLD_GANGGI_A,1,1000,2000,0,1,273,72
94,Soft Guard of Ice,SKILL_CH_COLD_GANGGI_B_01,SKILL_CH_COLD_GANGGI_B,1,1000,2000,0,1,273,249
95,Power Guard of Ice,SKILL_CH_COLD_GANGGI_C_01,SKILL_CH_COLD_GANGGI_C,1,1000,2000,0,1,273,581
96,Cold wave - Arrest,SKILL_CH_COLD_GIGONGJANG_A_01,SKILL_CH_COLD_GIGONGJANG_A,1,1000,4000,1,2,273,98
97,Cold wave - Binding,SKILL_CH_COLD_GIGONGJANG_B_01,SKILL_CH_COLD_GIGONGJANG_B,1,1000,4000,1,2,273,300
98,Cold wave - Shackle,SKILL_CH_COLD_GIGONGJANG_C_01,SKILL_CH_COLD_GIGONGJANG_C,1,1000,4000,1,2,273,675
99,Crystal Wall,SKILL_CH_COLD_BINGBYEOK_A_01,SKILL_CH_COLD_BINGBYEOK_A,1,1000,10000,0,1,273,165
100,Snow Wall,SKILL_CH_COLD_BINGBYEOK_B_01,SKILL_CH_COLD_BINGBYEOK_B,1,1000,10000,0,1,273,449
101,Extreme Wall,SKILL_CH_COLD_BINGBYEOK_C_01,SKILL_CH_COLD_BINGBYEOK_C,1,1000,10000,0,1,273,970
102,Frost Nova - Wind,SKILL_CH_COLD_BINGPAN_A_01,SKILL_CH_COLD_BINGPAN_A,1,0,6000,1,2,273,232
103,Frost Nova - Woods,SKILL_CH_COLD_BINGPAN_B_01,SKILL_CH_COLD_BINGPAN_B,1,0,6000,0,2,273,718
104,Snow Storm - Ice shot,SKILL_CH_COLD_GIGONGSUL_A_01,SKILL_CH_COLD_GIGONGSUL_A,1,1000,4000,1,2,273,348
105,Snow Storm - Ice rain,SKILL_CH_COLD_GIGONGSUL_B_01,SKILL_CH_COLD_GIGONGSUL_B,1,1000,10000,1,2,273,1206
106,Cold Armor,SKILL_CH_COLD_PASSIVE_A_01,SKILL_CH_COLD_PASSIVE_A,1,0,0,0,0,273,0
107,Thunder Tiger Force,SKILL_CH_LIGHTNING_GIGONGTA_A_01,SKILL_CH_LIGHTNING_GIGONGTA_A,1,0,5000,0,1,274,52
108,Thunder Sky Force,SKILL_CH_LIGHTNING_GIGONGTA_B_01,SKILL_CH_LIGHTNING_GIGONGTA_B,1,0,6000,0,1,274,206
109,Thunder King Force,SKILL_CH_LIGHTNING_GIGONGTA_C_01,SKILL_CH_LIGHTNING_GIGONGTA_C,1,0,7000,0,1,274,497
110,Must - Piercing Force,SKILL_CH_LIGHTNING_GWANTONG_A_01,SKILL_CH_LIGHTNING_GWANTONG_A,1,1000,3000,0,1,274,72
111,Flow - Piercing Force,SKILL_CH_LIGHTNING_GWANTONG_B_01,SKILL_CH_LIGHTNING_GWANTONG_B,1,1000,3000,0,1,274,249
112,Speed - Piercing Force,SKILL_CH_LIGHTNING_GWANTONG_C_01,SKILL_CH_LIGHTNING_GWANTONG_C,1,1000,3000,0,1,274,581
113,Grass Walk - Flow,SKILL_CH_LIGHTNING_GYEONGGONG_A_01,SKILL_CH_LIGHTNING_GYEONGGONG_A,1,0,2000,0,1,274,98
114,Ghost Walk - Phantom,SKILL_CH_LIGHTNING_GYEONGGONG_B_01,SKILL_CH_LIGHTNING_GYEONGGONG_B,1,0,5000,0,1,274,225
115,Grass Walk - Speed,SKILL_CH_LIGHTNING_GYEONGGONG_C_01,SKILL_CH_LIGHTNING_GYEONGGONG_C,1,0,2000,0,1,274,675
116,Shock Lion Shout,SKILL_CH_LIGHTNING_CHUNDUNG_A_01,SKILL_CH_LIGHTNING_CHUNDUNG_A,1,1000,4000,1,2,274,117
117,Heaven Lion Shout,SKILL_CH_LIGHTNING_CHUNDUNG_B_01,SKILL_CH_LIGHTNING_CHUNDUNG_B,1,1000,4000,1,2,274,318
118,Earth Lion Shout,SKILL_CH_LIGHTNING_CHUNDUNG_C_01,SKILL_CH_LIGHTNING_CHUNDUNG_C,1,1000,3000,1,2,274,687
119,Concentration - 1st,SKILL_CH_LIGHTNING_JIPJUNG_A_01,SKILL_CH_LIGHTNING_JIPJUNG_A,1,1000,4000,0,1,274,116
120,Concentration - 2nd,SKILL_CH_LIGHTNING_JIPJUNG_B_01,SKILL_CH_LIGHTNING_JIPJUNG_B,1,1000,4000,0,1,274,287
121,Wolf's Thunderbolt,SKILL_CH_LIGHTNING_STORM_A_01,SKILL_CH_LIGHTNING_STORM_A,1,1000,6000,1,2,274,407
122,Tiger's Thunderbolt,SKILL_CH_LIGHTNING_STORM_B_01,SKILL_CH_LIGHTNING_STORM_B,1,1000,6000,1,2,274,1083
123,Heaven's Force,SKILL_CH_LIGHTNING_PASSIVE_A_01,SKILL_CH_LIGHTNING_PASSIVE_A,1,0,0,0,0,274,0
124,River Fire force,SKILL_CH_FIRE_GIGONGTA_A_01,SKILL_CH_FIRE_GIGONGTA_A,1,0,5000,0,1,275,52
125,Extreme Fire force,SKILL_CH_FIRE_GIGONGTA_B_01,SKILL_CH_FIRE_GIGONGTA_B,1,0,6000,0,1,275,206
126,Poison Fire force,SKILL_CH_FIRE_GIGONGTA_C_01,SKILL_CH_FIRE_GIGONGTA_C,1,0,7000,0,1,275,497
127,Fire Shield - Phoenix,SKILL_CH_FIRE_SHIELD_A_01,SKILL_CH_FIRE_SHIELD_A,1,2000,5000,0,1,275,72
128,Fire Shield - Flower,SKILL_CH_FIRE_SHIELD_B_01,SKILL_CH_FIRE_SHIELD_B,1,2000,5000,0,1,275,249
129,Fire Shield - King,SKILL_CH_FIRE_SHIELD_C_01,SKILL_CH_FIRE_SHIELD_C,1,2000,5000,0,1,275,581
130,Flame body - Wisdom,SKILL_CH_FIRE_GONGUP_A_01,SKILL_CH_FIRE_GONGUP_A,1,1000,5000,0,1,275,98
131,Flame body - Power,SKILL_CH_FIRE_GONGUP_B_01,SKILL_CH_FIRE_GONGUP_B,1,1000,5000,0,1,275,300
132,Flame body - Extreme,SKILL_CH_FIRE_GONGUP_C_01,SKILL_CH_FIRE_GONGUP_C,1,1000,5000,0,1,275,675
133,Basic Fire protection,SKILL_CH_FIRE_GANGGI_A_01,SKILL_CH_FIRE_GANGGI_A,1,1000,5000,0,1,275,137
134,Divine Fire protection,SKILL_CH_FIRE_GANGGI_B_01,SKILL_CH_FIRE_GANGGI_B,1,1000,5000,0,1,275,374
135,Hard Fire protection,SKILL_CH_FIRE_GANGGI_C_01,SKILL_CH_FIRE_GANGGI_C,1,1000,5000,0,1,275,808
136,Fire Wall - Tower,SKILL_CH_FIRE_HWABYEOK_A_01,SKILL_CH_FIRE_HWABYEOK_A,1,1000,5000,0,1,275,232
137,Fire Wall - Mountain,SKILL_CH_FIRE_HWABYEOK_B_01,SKILL_CH_FIRE_HWABYEOK_B,1,1000,5000,0,1,275,574
138,Flame Wave - Arrow ,SKILL_CH_FIRE_GIGONGSUL_A_01,SKILL_CH_FIRE_GIGONGSUL_A,1,1000,4000,1,2,275,348
139,Flame Wave - Burning,SKILL_CH_FIRE_GIGONGSUL_B_01,SKILL_CH_FIRE_GIGONGSUL_B,1,1000,6000,1,2,275,820
140,Flame Wave - Wide,SKILL_CH_FIRE_GIGONGSUL_C_01,SKILL_CH_FIRE_GIGONGSUL_C,1,1000,10000,1,2,275,1501
141,Flame Wave - Bomb,SKILL_CH_FIRE_GIGONGSUL_D_01,SKILL_CH_FIRE_GIGONGSUL_D,1,1000,4000,1,2,275,1754
142,Flame Devil Force,SKILL_CH_FIRE_PASSIVE_A_01,SKILL_CH_FIRE_PASSIVE_A,1,0,0,0,0,275,0
143,Self Breathe Heal,SKILL_CH_WATER_SELFHEAL_A_01,SKILL_CH_WATER_SELFHEAL_A,1,1000,2100,0,1,276,16
144,Self Force Heal,SKILL_CH_WATER_SELFHEAL_B_01,SKILL_CH_WATER_SELFHEAL_B,1,1000,2100,0,1,276,64
145,Self Wounds Heal,SKILL_CH_WATER_SELFHEAL_C_01,SKILL_CH_WATER_SELFHEAL_C,1,1000,2100,0,1,276,155
146,Force Cure - Poison,SKILL_CH_WATER_CURE_A_01,SKILL_CH_WATER_CURE_A,1,1000,2100,1,1,276,29
147,Force Cure - Body,SKILL_CH_WATER_CURE_B_01,SKILL_CH_WATER_CURE_B,1,1000,2100,1,1,276,100
148,Force Cure - Condiion,SKILL_CH_WATER_CURE_C_01,SKILL_CH_WATER_CURE_C,1,1000,2100,1,1,276,232
149,Heal - Medical Hand,SKILL_CH_WATER_HEAL_A_01,SKILL_CH_WATER_HEAL_A,1,1000,3000,1,1,276,74
150,Heal - Ghost Hand,SKILL_CH_WATER_HEAL_B_01,SKILL_CH_WATER_HEAL_B,1,1000,3000,1,1,276,225
151,Heal - Taoist Hand,SKILL_CH_WATER_HEAL_C_01,SKILL_CH_WATER_HEAL_C,1,1000,3000,1,1,276,506
152,Soul Rebirth Art,SKILL_CH_WATER_RESURRECTION_A_01,SKILL_CH_WATER_RESURRECTION_A,1,1000,4000,1,1,276,137
153,Ghost Rebirth Art,SKILL_CH_WATER_RESURRECTION_B_01,SKILL_CH_WATER_RESURRECTION_B,1,1000,4000,1,1,276,374
154,Spirit Rebirth Art,SKILL_CH_WATER_RESURRECTION_C_01,SKILL_CH_WATER_RESURRECTION_C,1,1000,4500,1,1,276,808
155,Harmony Therapy,SKILL_CH_WATER_HARMONY_A_01,SKILL_CH_WATER_HARMONY_A,1,1000,300000,0,1,276,193
156,Adaptation Therapy,SKILL_CH_WATER_HARMONY_B_01,SKILL_CH_WATER_HARMONY_B,1,1000,300000,0,1,276,479
157,Vital Spot - Muscle,SKILL_CH_WATER_CANCEL_A_01,SKILL_CH_WATER_CANCEL_A,1,1000,2000,1,2,276,110
158,Vital Spot - Spirit,SKILL_CH_WATER_CANCEL_B_01,SKILL_CH_WATER_CANCEL_B,1,1000,2000,1,2,276,251
159,Force Increasing,SKILL_CH_WATER_PASSIVE_A_01,SKILL_CH_WATER_PASSIVE_A,1,0,0,0,0,276,0
291,Strike Smash,SKILL_CH_SWORD_SMASH_A_02,SKILL_CH_SWORD_SMASH_A,2,1022,3000,1,2,257,23
292,Strike Smash,SKILL_CH_SWORD_SMASH_A_03,SKILL_CH_SWORD_SMASH_A,3,1022,3000,1,2,257,27
293,Strike Smash,SKILL_CH_SWORD_SMASH_A_04,SKILL_CH_SWORD_SMASH_A,4,1022,3000,1,2,257,31
294,Strike Smash,SKILL_CH_SWORD_SMASH_A_05,SKILL_CH_SWORD_SMASH_A,5,1022,3000,1,2,257,36
295,Strike Smash,SKILL_CH_SWORD_SMASH_A_06,SKILL_CH_SWORD_SMASH_A,6,1022,3000,1,2,257,42
296,Strike Smash,SKILL_CH_SWORD_SMASH_A_07,SKILL_CH_SWORD_SMASH_A,7,1022,3000,1,2,257,47
297,Strike Smash,SKILL_CH_SWORD_SMASH_A_08,SKILL_CH_SWORD_SMASH_A,8,1022,3000,1,2,257,53
298,Strike Smash,SKILL_CH_SWORD_SMASH_A_09,SKILL_CH_SWORD_SMASH_A,9,1022,3000,1,2,257,60
299,Stab Smash,SKILL_CH_SWORD_SMASH_B_02,SKILL_CH_SWORD_SMASH_B,2,1100,3000,1,2,257,100
300,Stab Smash,SKILL_CH_SWORD_SMASH_B_03,SKILL_CH_SWORD_SMASH_B,3,1100,3000,1,2,257,110
301,Stab Smash,SKILL_CH_SWORD_SMASH_B_04,SKILL_CH_SWORD_SMASH_B,4,1100,3000,1,2,257,121
302,Stab Smash,SKILL_CH_SWORD_SMASH_B_05,SKILL_CH_SWORD_SMASH_B,5,1100,3000,1,2,257,132
303,Stab Smash,SKILL_CH_SWORD_SMASH_B_06,SKILL_CH_SWORD_SMASH_B,6,1100,3000,1,2,257,144
304,Stab Smash,SKILL_CH_SWORD_SMASH_B_07,SKILL_CH_SWORD_SMASH_B,7,1100,3000,1,2,257,156
305,Stab Smash,SKILL_CH_SWORD_SMASH_B_08,SKILL_CH_SWORD_SMASH_B,8,1100,3000,1,2,257,170
306,Stab Smash,SKILL_CH_SWORD_SMASH_B_09,SKILL_CH_SWORD_SMASH_B,9,1100,3000,1,2,257,184
307,Crosswise Smash ,SKILL_CH_SWORD_SMASH_C_02,SKILL_CH_SWORD_SMASH_C,2,500,3000,1,2,257,312
308,Crosswise Smash ,SKILL_CH_SWORD_SMASH_C_03,SKILL_CH_SWORD_SMASH_C,3,500,3000,1,2,257,336
309,Crosswise Smash ,SKILL_CH_SWORD_SMASH_C_04,SKILL_CH_SWORD_SMASH_C,4,500,3000,1,2,257,361
310,Crosswise Smash ,SKILL_CH_SWORD_SMASH_C_05,SKILL_CH_SWORD_SMASH_C,5,500,3000,1,2,257,388
311,Crosswise Smash ,SKILL_CH_SWORD_SMASH_C_06,SKILL_CH_SWORD_SMASH_C,6,500,3000,1,2,257,416
312,Crosswise Smash ,SKILL_CH_SWORD_SMASH_C_07,SKILL_CH_SWORD_SMASH_C,7,500,3000,1,2,257,446
313,Crosswise Smash ,SKILL_CH_SWORD_SMASH_C_08,SKILL_CH_SWORD_SMASH_C,8,500,3000,1,2,257,478
314,Crosswise Smash ,SKILL_CH_SWORD_SMASH_C_09,SKILL_CH_SWORD_SMASH_C,9,500,3000,1,2,257,511
315,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_1S_02,SKILL_CH_SWORD_CHAIN_A,2,428,8000,1,2,257,38
316,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_1S_03,SKILL_CH_SWORD_CHAIN_A,3,428,8000,1,2,257,45
317,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_1S_04,SKILL_CH_SWORD_CHAIN_A,4,428,8000,1,2,257,52
318,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_1S_05,SKILL_CH_SWORD_CHAIN_A,5,428,8000,1,2,257,59
319,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_1S_06,SKILL_CH_SWORD_CHAIN_A,6,428,8000,1,2,257,67
320,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_1S_07,SKILL_CH_SWORD_CHAIN_A,7,428,8000,1,2,257,75
321,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_1S_08,SKILL_CH_SWORD_CHAIN_A,8,428,8000,1,2,257,85
322,Illusion Chain,SKILL_CH_SWORD_CHAIN_A_1S_09,SKILL_CH_SWORD_CHAIN_A,9,428,8000,1,2,257,94
