//ShopTab,ITEMType,Slot
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_07,6
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_08,7
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_09,8
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_10,9
MALL_ARCHEMY_ATHANASIA,ITEM_ETC_ARCHEMY_MAGICSTONE_ATHANASIA_11,10
MALL_ARCHEMY_ETC,ITEM_ETC_ARCHEMY_RONDO_03,0
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_ADMIRAL_ATTACH,20
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_ARABIA_ATTACH,0
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_CARNIVAL_ATTACH,8
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_CARNIVAL_ATTACH_2,18
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_CHINGCHU_ATTACH,10
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_CLOWN_ATTACH,2
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_DARKLKNIGHT_ATTACH,12
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_EARTHSPIRIT_ATTACH,22
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_HWARANG_ATTACH,14
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_PIRATECREW_ATTACH,6
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_SAINTWARRIOR_ATTACH,16
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_M_SPARTA_ATTACH,4
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_ADMIRAL_ATTACH,21
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_ARABIA_ATTACH,1
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_CARNIVAL_ATTACH,9
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_CARNIVAL_ATTACH_2,19
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_CHINGCHU_ATTACH,11
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_CLOWN_ATTACH,3
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_DARKLKNIGHT_ATTACH,13
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_EARTHSPIRIT_ATTACH,23
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_HWARANG_ATTACH,15
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_PIRATECREW_ATTACH,7
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_SAINTWARRIOR_ATTACH,17
MALL_AVATAR_ATTACH,ITEM_MALL_AVATAR_W_SPARTA_ATTACH,5
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_A_EDENP_DMG_ABS,1
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_A_EDENP_DMG_UP,0
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_A_KYKLOPES_DMG_ABS,5
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_A_KYKLOPES_DMG_UP,4
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_A_MUJIGI_DMG_ABS,9
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_A_MUJIGI_DMG_UP,8
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_A_ROC_DMG_ABS,13
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_A_ROC_DMG_UP,12
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_B_EDENP_INT,3
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_B_EDENP_STR,2
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_B_KYKLOPES_INT,7
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_B_KYKLOPES_STR,6
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_B_MUJIGI_INT,11
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_B_MUJIGI_STR,10
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_B_ROC_INT,15
MALL_AVATAR_BALLOON,ITEM_MALL_BALLOON_B_ROC_STR,14
MALL_AVATAR_BOOTH,ITEM_MALL_BOOTH_MOB_BIGEYEGHOST,1
MALL_AVATAR_BOOTH,ITEM_MALL_BOOTH_MOB_EARTHGHOST,2
MALL_AVATAR_BOOTH,ITEM_MALL_BOOTH_MOB_MANGYANG,0
MALL_AVATAR_BOOTH,ITEM_MALL_BOOTH_SPECIAL_MONSTER_01,3
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_ADMIRAL,36
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_ARABIA,2
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_ARABIA_2,14
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_CARNIVAL,16
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_CARNIVAL_2,34
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_CHINGCHU,20
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_CLOWN,4
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_DARKLKNIGHT,24
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_EARTHSPIRIT,38
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_FAIRY_2,22
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_HWARANG,28
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_KNIGHT,0
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_KNIGHT_3,18
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_NEWDEVIL,30
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_PIRATE_2,10
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_PIRATECREW,12
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_PIRATECREW_2,26
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_SAINTWARRIOR,32
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_SPARTA,8
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_M_TURKEY,6
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_ADMIRAL,37
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_ARABIA,3
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_ARABIA_2,15
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_CARNIVAL,17
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_CARNIVAL_2,35
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_CHINGCHU,21
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_CLOWN,5
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_DARKLKNIGHT,25
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_EARTHSPIRIT,39
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_FAIRY_2,23
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_HWARANG,29
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_KNIGHT,1
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_KNIGHT_3,19
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_NEWDEVIL,31
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_PIRATE_2,11
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_PIRATECREW,13
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_PIRATECREW_2,27
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_SAINTWARRIOR,33
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_SPARTA,9
MALL_AVATAR_DRESS,ITEM_MALL_AVATAR_W_TURKEY,7
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_ADMIRAL_HAT,36
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_ARABIA_HAT,2
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_ARABIA_HAT_2,14
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_CARNIVAL_HAT,16
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_CARNIVAL_HAT_2,34
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_CHINGCHU_HAT,20
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_CLOWN_HAT_2,4
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_DARKLKNIGHT_HAT,24
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_EARTHSPIRIT_HAT,38
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_FAIRY_HAT_2,22
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_HWARANG_HAT,28
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_KNIGHT_HAT,0
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_KNIGHT_HAT_3,18
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_NEWDEVIL_HAT,30
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_PIRATE_HAT_2,10
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_PIRATECREW_HAT,12
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_PIRATECREW_HAT_2,26
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_SAINTWARRIOR_HAT,32
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_SPARTA_HAT,8
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_M_TURKEY_HAT,6
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_ADMIRAL_HAT,37
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_ARABIA_HAT,3
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_ARABIA_HAT_2,15
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_CARNIVAL_HAT,17
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_CARNIVAL_HAT_2,35
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_CHINGCHU_HAT,21
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_CLOWN_HAT_2,5
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_DARKLKNIGHT_HAT,25
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_EARTHSPIRIT_HAT,39
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_FAIRY_HAT_2,23
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_HWARANG_HAT,29
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_KNIGHT_HAT,1
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_KNIGHT_HAT_3,19
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_NEWDEVIL_HAT,31
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_PIRATE_HAT_2,11
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_PIRATECREW_HAT,13
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_PIRATECREW_HAT_2,27
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_SAINTWARRIOR_HAT,33
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_SPARTA_HAT,9
MALL_AVATAR_HAT,ITEM_MALL_AVATAR_W_TURKEY_HAT,7
MALL_CONSUME_COMMUNITY,ITEM_MALL_GLOBAL_CHATTING,0
MALL_CONSUME_ETC,ITEM_ETC_E091216_PINE,0
MALL_CONSUME_ETC,ITEM_MALL_BOLT,9
MALL_CONSUME_ETC,ITEM_MALL_EQUIP_TRANSGENDER_1,4
MALL_CONSUME_ETC,ITEM_MALL_EQUIP_TRANSGENDER_2,5
MALL_CONSUME_ETC,ITEM_MALL_EQUIP_TRANSGENDER_3,6
MALL_CONSUME_ETC,ITEM_MALL_EQUIP_TRANSGENDER_4,7
MALL_CONSUME_ETC,ITEM_MALL_INVENTORY_ADDITION,1
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_ACCESSARY,10
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_ACCESSARY_10,11
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_ACCESSARY_20,12
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_ACCESSARY_30,13
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_ARMOR,14
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_ARMOR_10,15
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_ARMOR_20,16
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_ARMOR_30,17
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_SHIELD,18
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_SHIELD_10,19
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_SHIELD_20,20
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_SHIELD_30,21
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_WEAPON,22
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_WEAPON_10,23
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_WEAPON_20,24
MALL_CONSUME_ETC,ITEM_MALL_MAGIC_CUBE_WEAPON_30,25
MALL_CONSUME_ETC,ITEM_MALL_QUIVER,8
MALL_CONSUME_ETC,ITEM_MALL_REPAIR_HAMMER,3
MALL_CONSUME_ETC,ITEM_MALL_WAREHOUSE_ADDITION,2
MALL_CONSUME_POTION,ITEM_MALL_HP_SUPERSET_2_BAG,8
MALL_CONSUME_POTION,ITEM_MALL_HP_SUPERSET_3_BAG,9
MALL_CONSUME_POTION,ITEM_MALL_HP_SUPERSET_4_BAG,10
MALL_CONSUME_POTION,ITEM_MALL_HP_SUPERSET_5_BAG,14
MALL_CONSUME_POTION,ITEM_MALL_MP_SUPERSET_2_BAG,11
MALL_CONSUME_POTION,ITEM_MALL_MP_SUPERSET_3_BAG,12
MALL_CONSUME_POTION,ITEM_MALL_MP_SUPERSET_4_BAG,13
MALL_CONSUME_POTION,ITEM_MALL_MP_SUPERSET_5_BAG,15
MALL_CONSUME_SCROLL,ITEM_MALL_DAMAGE_ABS_20P_SCROLL,9
MALL_CONSUME_SCROLL,ITEM_MALL_DAMAGE_INC_20P_SCROLL,8
MALL_CONSUME_SCROLL,ITEM_MALL_RESURRECTION_100P_SCROLL,12
MALL_CONSUME_SCROLL,ITEM_MALL_RESURRECTION_60P_SCROLL,11
MALL_CONSUME_SCROLL,ITEM_MALL_RETURN_SCROLL_HIGH_SPEED,10
MALL_CONSUME_SCROLL,ITEM_MALL_REVERSE_RETURN_SCROLL,13
MALL_CONSUME_SPECIAL,ITEM_MALL_CHAR_SKIN_CHANGE_SCROLL,6
MALL_CONSUME_SPECIAL,ITEM_MALL_GACHA_CARD,11
MALL_CONSUME_SPECIAL,ITEM_MALL_GOLD_TIME_SERVICE_TICKET_1D,1
MALL_CONSUME_SPECIAL,ITEM_MALL_GOLD_TIME_SERVICE_TICKET_4W,2
MALL_CONSUME_SPECIAL,ITEM_MALL_OPEN_MARKET_TICKET,0
MALL_CONSUME_SPECIAL,ITEM_MALL_SILVER_TIME_SERVICE_TICKET_1D,7
MALL_CONSUME_SPECIAL,ITEM_MALL_SILVER_TIME_SERVICE_TICKET_4W,8
MALL_CONSUME_SPECIAL,ITEM_MALL_SKILL_GOLD_TIME_SERVICE_TICKET_1D,3
MALL_CONSUME_SPECIAL,ITEM_MALL_SKILL_GOLD_TIME_SERVICE_TICKET_4W,4
MALL_CONSUME_SPECIAL,ITEM_MALL_SKILL_RESTORATION_POTION,5
MALL_CONSUME_SPECIAL,ITEM_MALL_SKILL_SILVER_TIME_SERVICE_TICKET_1D,9
MALL_CONSUME_SPECIAL,ITEM_MALL_SKILL_SILVER_TIME_SERVICE_TICKET_4W,10
MALL_PET_A_GROWTH,ITEM_COS_P_BEAR_SCROLL,4
MALL_PET_A_GROWTH,ITEM_COS_P_FLUTE_SILK,6
MALL_PET_A_GROWTH,ITEM_COS_P_FLUTE_WHITE,0
MALL_PET_A_GROWTH,ITEM_COS_P_FOX_SCROLL,2
MALL_PET_A_GROWTH,ITEM_COS_P_KANGAROO_SCROLL,1
MALL_PET_A_GROWTH,ITEM_COS_P_PENGUIN_SCROLL,3
MALL_PET_A_GROWTH,ITEM_COS_P_RAVEN_SCROLL,5
MALL_PET_B_SILK,ITEM_COS_P_BROWNIE_SCROLL,3
MALL_PET_B_SILK,ITEM_COS_P_CAT_SCROLL,2
MALL_PET_B_SILK,ITEM_COS_P_GGLIDER_SCROLL,1
MALL_PET_B_SILK,ITEM_COS_P_MYOWON_SCROLL,7
MALL_PET_B_SILK,ITEM_COS_P_RABBIT_SCROLL_SILK,5
MALL_PET_B_SILK,ITEM_COS_P_RACCOONDOG_SCROLL,0
MALL_PET_B_SILK,ITEM_COS_P_SEOWON_SCROLL,6
MALL_PET_B_SILK,ITEM_COS_P_SPOT_RABBIT_SCROLL,4
MALL_PET_C_VEHICLE,ITEM_COS_C_OSTRICH_SCROLL,4
MALL_PET_C_VEHICLE,ITEM_COS_C_PEGASUS_SCROLL,3
MALL_PET_C_VEHICLE,ITEM_COS_C_SCARABAEUS_SCROLL,2
MALL_PET_C_VEHICLE,ITEM_COS_C_TIGER_SCROLL,1
MALL_PET_C_VEHICLE,ITEM_COS_C_WILDPIG_SCROLL,0
MALL_PET_D_CART,ITEM_COS_T_BUFFALO_SCROLL,1
MALL_PET_D_CART,ITEM_COS_T_RHINOCEROS_SCROLL,0
MALL_PET_D_CART,ITEM_COS_T_WHITEELEPHANT_SCROLL,2
MALL_PET_E_STORES,ITEM_COS_P_EXTENSION,0
MALL_PET_E_STORES,ITEM_MALL_PET_GROWTH_POTION,1
MALL_PREMIUM_NASRUN,ITEM_MALL_AVATAR_M_NASRUN,0
MALL_PREMIUM_NASRUN,ITEM_MALL_AVATAR_M_NASRUN_BLUE,2
MALL_PREMIUM_NASRUN,ITEM_MALL_AVATAR_M_NASRUN_YELLOW,4
MALL_PREMIUM_NASRUN,ITEM_MALL_AVATAR_W_NASRUN,1
MALL_PREMIUM_NASRUN,ITEM_MALL_AVATAR_W_NASRUN_BLUE,3
MALL_PREMIUM_NASRUN,ITEM_MALL_AVATAR_W_NASRUN_YELLOW,5
MALL_PREMIUM_NASRUN_ETC,ITEM_MALL_NASRUN_EXTENSION,0
MALL_PREMIUM_PREMIUM,ITEM_ETC_E091216_PINE,0
MALL_PREMIUM_PREMIUM,ITEM_MALL_PREMIUM_GOLDTIME,2
MALL_PREMIUM_PREMIUM,ITEM_MALL_PREMIUM_VIETNAM_GOLDTIME_PLUS,1
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_09_A_RARE,20
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_09_B_RARE,21
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_09_C_RARE,22
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_10_A_RARE,23
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_10_B_RARE,24
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_10_C_RARE,25
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_11_SET_A,26
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_11_SET_A_RARE,28
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_11_SET_B,27
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_EARRING_11_SET_B_RARE,29
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_09_A_RARE,10
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_09_B_RARE,11
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_09_C_RARE,12
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_10_A_RARE,13
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_10_B_RARE,14
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_10_C_RARE,15
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_11_SET_A,16
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_11_SET_A_RARE,18
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_11_SET_B,17
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_NECKLACE_11_SET_B_RARE,19
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_09_A_RARE,0
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_09_B_RARE,1
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_09_C_RARE,2
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_10_A_RARE,3
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_10_B_RARE,4
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_10_C_RARE,5
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_11_SET_A,6
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_11_SET_A_RARE,8
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_11_SET_B,7
STORE_BATTLE_ARENA_CH_TAB1,ITEM_CH_RING_11_SET_B_RARE,9
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_LUCK_09,0
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_LUCK_10,1
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_LUCK_11,2
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_SOLID_09,3
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_SOLID_10,4
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_MAGICSTONE_SOLID_11,5
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_ACCESSARY_B,6
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_ARMOR_B,7
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_SHIELD_B,8
STORE_BATTLE_ARENA_CH_TAB2,ITEM_ETC_ARCHEMY_REINFORCE_RECIPE_WEAPON_B,9
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_09_A_RARE,20
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_09_B_RARE,21
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_09_C_RARE,22
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_10_A_RARE,23
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_10_B_RARE,24
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_10_C_RARE,25
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_11_SET_A,26
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_11_SET_A_RARE,28
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_11_SET_B,27
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_EARRING_11_SET_B_RARE,29
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_09_A_RARE,10
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_09_B_RARE,11
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_09_C_RARE,12
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_10_A_RARE,13
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_10_B_RARE,14
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_10_C_RARE,15
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_11_SET_A,16
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_11_SET_A_RARE,18
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_11_SET_B,17
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_NECKLACE_11_SET_B_RARE,19
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_09_A_RARE,0
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_09_B_RARE,1
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_09_C_RARE,2
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_10_A_RARE,3
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_10_B_RARE,4
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_10_C_RARE,5
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_11_SET_A,6
STORE_BATTLE_ARENA_EU_TAB1,ITEM_EU_RING_11_SET_A_RARE,8
